Id,Module,Label,Path
TInputs.SectionSeparatorView,TInputs,SectionSeparatorView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Inputs/Impl/Views/SectionSeparatorView.swift
TAccountManagement.AccountManagerGraph,TAccountManagement,AccountManagerGraph,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/AccountManagement/Impl/AccountManagerGraph.swift
TUIComponents.AviaSkeleton_Previews,TUIComponents,AviaSkeleton_Previews,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIComponents/Impl/Avia/AviaSkeleton.swift
TUtils.TaggedExt1,TUtils,TaggedExt1,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Utils/Impl/Tagged.swift
TProto.Travel_App_Backend_Api_Promo_V1_LoyaltyBenefitExt0,TProto,Travel_App_Backend_Api_Promo_V1_LoyaltyBenefitExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/promo_v1_loyalty.pb.swift
TCalendar.FlatCalendarHeaderView,TCalendar,FlatCalendarHeaderView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Calendar/Impl/Views/FlatCalendar/FlatCalendarHeaderView.swift
TFavoritesCore.StubFavoriteHotelsServiceFactory,TFavoritesCore,StubFavoriteHotelsServiceFactory,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/FavoritesCore/Impl/Service/FavoriteHotelsServiceFactory.swift
TTrips.TripGuideBridgesService,TTrips,TripGuideBridgesService,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/TripGuide/Service/TripGuideBridgesService.swift
TravelUITests.HotelReviewsScreen,TravelUITests,HotelReviewsScreen,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/UITests/Screens/HotelReviewScreen.swift
TProto.Travel_App_Backend_Api_Travelers_V1_GetPassengerReqExt0,TProto,Travel_App_Backend_Api_Travelers_V1_GetPassengerReqExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/travelers_v1_travelers_api.pb.swift
TInputs.SmallInformationCell_Previews,TInputs,SmallInformationCell_Previews,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Inputs/Impl/Views/SmallInformationButtonView.swift
TUtils.LoadableExt0,TUtils,LoadableExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Utils/Impl/UDF/Loadable+Equatable.swift
TravelUITests.TooltipScreen,TravelUITests,TooltipScreen,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/UITests/Screens/TooltipScreen.swift
TMapKit.BridgePinView_Previews,TMapKit,BridgePinView_Previews,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/MapKit/Impl/MapView/Pins/Bridge/BridgePinView.swift
Travel.HotelCollectionStateMachineExt2,Travel,HotelCollectionStateMachineExt2,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/HotelsCollection/HotelCollectionStateMachine.swift
TCheckoutAPI.SplitPlansModel.Payment,TCheckoutAPI,SplitPlansModel.Payment,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Checkout/API/Models/Submodels/SplitPlansModel.swift
