Source,Target,Type
TProto.Travel_App_Backend_Api_Home_V1_UserGallery,TProto.Travel_App_Backend_Api_Home_V1_PermissionStatus,directed
Travel.HotelDetailsInfoViewExt0,Travel.HotelDetailsInfoViewExt0.Model,directed
TProto.Travel_App_Backend_Api_Calendar_V1_DaysReq,TProto.Travel_App_Backend_Api_Calendar_V1_DaysReqExt0,directed
TProto.Travel_App_Backend_Api_Calendar_V1_DaysReq,TProto.Google_Type_Date,directed
TProto.Travel_App_Backend_Api_Systemlocalhost_V1_ShutdownReq,TProto.Travel_App_Backend_Api_Systemlocalhost_V1_ShutdownReqExt0,directed
TInputs.AviaSuggestModel,TInputs.AviaSuggestModelExt0,directed
TInputs.AviaSuggestModel,TInputs.AviaSuggestModel,directed
TInputs.AviaSuggestModel,TInputs.AviaSuggestType,directed
TTravelMapAPI.PlaceDetails,TTravelMapAPI.Place,directed
TTravelMapAPI.PlaceDetails,TAnywhere.Proto,directed
TPayments.PaymentsManager,TUIUtils.Callbacks,directed
TPayments.PaymentsManager,TPayments.PaymentOrder,directed
TPayments.PaymentsManager,TPayments.PaymentError,directed
TPayments.PaymentsManager,TPayments.PaymentStatus,directed
TPayments.PaymentsManager,TAccountManagement.AuthStateMachine,directed
TPayments.PaymentsManager,TPayments.PaymentsManagerExt0,directed
Travel.FullReviewStateExt0,Travel.FullReviewStateExt0.Input,directed
Travel.FullReviewStateExt0,TStore.Message,directed
TAnalytics.MockTelemetryInMemoryRecorder,TAnalytics.MockTelemetryRecord,directed
TMediaManager.MediaManager,TMediaManager.MediaManagerExt0,directed
TLoyaltyContext.SkeletonColumnView,TLoyaltyContext.SkeletonColumnViewExt0,directed
TLoyaltyContext.SkeletonColumnView,TUIComponents.SkeletonItem,directed
Travel.AviaPassengersCountersStack,TInputs.TitledCounterView,directed
Travel.AviaPassengersCountersStack,TLocalization.TLocalizationStrings,directed
Travel.AviaPassengersCountersStack,TUtils.Clamping,directed
TProto.Travel_App_Backend_Api_Avia_V1_SearchFiltersReq.DirectionAirports,TProto.Travel_App_Backend_Api_Avia_V1_SearchFiltersReq,directed
HotelDetailsMapUnitTests.MapHotelTests,THotelDetailsMap.MapHotelPinView_Preview,directed
TProto.Travel_App_Backend_Api_Weekend_V1_ListCitiesRequestExt0,TProto.Travel_App_Backend_Api_Weekend_V1_ListCitiesRequest,directed
TProto.Travel_App_Backend_Api_Trips_V1_WeatherForecastExt0,TProto.Travel_App_Backend_Api_Trips_V1_WeatherForecast,directed
TProto.Travel_App_Backend_Api_Hotels_V1_FieldValidationExt0,TProto.Travel_App_Backend_Api_Hotels_V1_FieldValidation,directed
TProto.Travel_App_Backend_Api_Avia_V1_HistorySuggestPointExt0,TProto.Travel_App_Backend_Api_Avia_V1_HistorySuggestPoint,directed
TTrips.SkiResortView,TTrips.SkiResortTrailsView,directed
TTrips.SkiResortView,TTrips.SkiResortCamerasView,directed
TTrips.SkiResortView,TTrips.SkiResortWeatherView,directed
TTrips.SkiResortView,TTrips.SkiResortViewExt0,directed
TTrips.SkiResortView,TTrips.SkiResortSkipassView,directed
